I_1,I_2,area_1,area_2,bg_val,fractional_birth_area,date,run_no,temp,carbon,operator
318.42562929061785,298.45170454545456,437.0,352.0,186.25419713695987,0.5351629502572899,20181005,1,37,glucose,O2
195.1060606060606,194.57251908396947,462.0,393.0,186.25419713695987,0.5160202360876898,20181005,1,37,glucose,O2
238.4164383561644,260.982905982906,365.0,351.0,186.25419713695987,0.5335570469798657,20181005,1,37,glucose,O2
195.3711790393013,194.03960396039605,458.0,505.0,186.25419713695987,0.476010101010101,20181005,1,37,glucose,O2
239.1699164345404,251.17801047120415,359.0,382.0,186.25419713695987,0.4880763116057234,20181005,1,37,glucose,O2
350.4501278772378,336.1670190274841,391.0,473.0,186.25419713695987,0.5120385232744783,20181005,1,37,glucose,O2
244.47246376811597,251.6108374384237,345.0,406.0,186.25419713695987,0.4463452566096423,20181005,1,37,glucose,O2
252.5943204868154,244.22072936660268,493.0,521.0,186.25419713695987,0.4929078014184397,20181005,1,37,glucose,O2
264.20382165605093,254.61736334405143,314.0,311.0,186.25419713695987,0.5008665511265165,20181005,1,37,glucose,O2
262.32142857142856,246.6140724946695,448.0,469.0,186.25419713695987,0.45895522388059706,20181005,1,37,glucose,O2
470.8126801152738,441.8075949367089,347.0,395.0,186.25419713695987,0.5048701298701299,20181005,1,37,glucose,O2
345.55379188712516,369.1555977229601,567.0,527.0,186.25419713695987,0.5232,20181005,1,37,glucose,O2
336.6433333333333,333.56741573033713,300.0,356.0,186.25419713695987,0.4709897610921502,20181005,1,37,glucose,O2
305.3731343283582,314.4305882352941,402.0,425.0,186.25419713695987,0.4722222222222222,20181005,1,37,glucose,O2
283.6038834951456,306.39344262295083,515.0,488.0,186.25419713695987,0.5133689839572193,20181005,1,37,glucose,O2
439.50627615062757,423.3440170940171,478.0,468.0,186.25419713695987,0.4884726224783862,20181005,1,37,glucose,O2
284.40616966580984,266.961625282167,389.0,443.0,186.25419713695987,0.5007342143906021,20181005,1,37,glucose,O2
298.3055555555556,291.5674518201285,432.0,467.0,186.25419713695987,0.4864406779661017,20181005,1,37,glucose,O2
302.3175,284.647201946472,400.0,411.0,186.25419713695987,0.4982456140350877,20181005,1,37,glucose,O2
186.41954022988503,186.6497695852535,522.0,434.0,186.25419713695987,0.5460251046025104,20181005,1,37,glucose,O2
321.7250554323725,327.8611825192802,451.0,389.0,186.25419713695987,0.5369047619047619,20181005,1,37,glucose,O2
299.6890380313199,297.9950248756219,447.0,402.0,186.25419713695987,0.4936708860759494,20181005,1,37,glucose,O2
276.70158730158727,279.94212218649517,315.0,311.0,186.25419713695987,0.5031948881789138,20181005,1,37,glucose,O2
273.92879256965944,272.95014662756597,323.0,341.0,186.25419713695987,0.4864457831325301,20181005,1,37,glucose,O2
225.7647058823529,225.2705479452055,340.0,292.0,186.25419713695987,0.5379746835443038,20181005,1,37,glucose,O2
241.93661971830986,237.50176678445231,284.0,283.0,186.25419713695987,0.5076628352490421,20181005,1,37,glucose,O2
295.88150289017335,294.18604651162786,346.0,301.0,186.25419713695987,0.5279187817258884,20181005,1,37,glucose,O2
284.85995085995086,286.4837905236908,407.0,401.0,186.25419713695987,0.4530477759472818,20181005,1,37,glucose,O2
208.91197183098592,250.9773371104816,284.0,353.0,186.25419713695987,0.44583987441130296,20181005,1,37,glucose,O2
296.6981981981982,282.90384615384613,444.0,468.0,186.4903815206585,0.4829545454545455,20181005,1,37,glucose,O2
339.76507276507283,335.8033826638478,481.0,473.0,186.4903815206585,0.4845474613686534,20181005,1,37,glucose,O2
