strain,area_pix,mean_yfp,mean_mCherry,fold_change,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,IPTGuM
delta,331.0,210.88217522658607,172.50151057401808,0.06510150948672101,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,469.0,528.7014925373136,178.06609808102345,0.5834301785974751,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,362.0,603.7265193370166,191.73756906077347,0.7057878207324525,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,561.0,617.0677361853832,188.6969696969697,0.7275458914244585,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,409.0,612.8606356968215,187.1907090464548,0.7206845690369352,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,442.0,578.4977375565611,192.5610859728507,0.6646424271981628,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,413.0,759.5980629539952,182.34140435835354,0.9599973207680892,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,368.0,784.3777173913044,195.4891304347826,1.0004102365536878,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,671.0,718.6259314456037,195.86438152011917,0.8931762396107966,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,639.0,677.6870109546164,180.9186228482003,0.8264093220034002,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,568.0,577.2482394366198,197.6707746478873,0.662604631940638,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,449.0,738.4320712694878,200.4120267260579,0.9254778950985856,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,646.0,1053.2724458204334,187.7229102167183,1.4389482332271322,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,427.0,843.7775175644027,187.72599531615924,1.0972848369703303,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,322.0,1020.9378881987576,186.77329192546586,1.3862140937162155,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,655.0,648.0305343511451,201.36946564885497,0.7780428407634863,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,522.0,707.727969348659,201.59578544061299,0.8754028511411271,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,489.0,608.3087934560327,203.9652351738241,0.7132610104230847,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,556.0,709.9856115107913,204.1528776978417,0.8790848194592527,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,429.0,624.3939393939394,194.990675990676,0.7394941304140135,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,477.0,793.2935010482179,202.1928721174004,1.0149509080146653,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,864.0,833.4386574074074,202.8946759259259,1.0804232828311957,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,621.0,788.7181964573268,189.66505636070855,1.0074890848648337,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,722.0,1044.7146814404432,202.48337950138503,1.4249914521882157,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,518.0,1096.61583011583,193.14478764478764,1.5096365692499047,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,474.0,1159.337552742616,193.46202531645568,1.6119288631499975,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,458.0,1183.9235807860264,194.50218340611355,1.6520259953894494,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,447.0,950.5123042505593,189.30425055928413,1.2713576416034311,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,427.0,821.0234192037469,189.7704918032787,1.060175382391259,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,511.0,820.1213307240704,186.1878669275929,1.0587041743946923,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,604.0,785.4817880794702,192.23013245033115,1.0022108555193427,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,615.0,792.0130081300812,187.19186991869918,1.0128625636192403,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,472.0,717.4110169491527,199.2076271186441,0.8911948464741009,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,609.0,1051.4942528735633,189.64696223316915,1.4360481943265004,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,252.0,1124.75,189.4920634920635,1.5555203341386838,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,564.0,907.22695035461,186.28191489361703,1.2007639468377351,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,722.0,1085.3240997229916,190.0831024930748,1.4912209876043272,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,289.0,1096.4671280276816,189.31141868512108,1.5093940523503775,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,325.0,1312.9446153846154,185.5969230769231,1.8624452415090813,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,263.0,1070.5817490494296,189.425855513308,1.4671778203454895,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,273.0,890.7875457875458,188.9010989010989,1.1739530696313984,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,579.0,801.7772020725389,192.39896373057,1.0287868997922531,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,312.0,995.352564102564,185.11217948717945,1.3444872185225922,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,581.0,814.697074010327,186.58519793459556,1.0498578028552277,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,419.0,660.6706443914081,196.00954653937947,0.7986574826613464,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,434.0,885.4400921658986,186.5852534562212,1.1652319555647856,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,288.0,908.9548611111113,189.60416666666663,1.2035819809658612,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,363.0,870.724517906336,187.6611570247934,1.1412324577189634,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
delta,613.0,870.7716150081566,189.94127243066882,1.141309267959172,0.0,20181005,glucose,37,O2,1,172.48494328262322,192.06207144484574,0
