time_min,temp_C,well_id,od_600nm,strain,carbon,date,run_number
615.1666666666666,37.0,73,0.079,blank,blank,20190128,1
622.1666666666666,37.1,73,0.079,blank,blank,20190128,1
629.1666666666666,37.0,73,0.079,blank,blank,20190128,1
636.1666666666666,37.0,73,0.079,blank,blank,20190128,1
643.1666666666666,37.1,73,0.079,blank,blank,20190128,1
650.1666666666666,37.1,73,0.079,blank,blank,20190128,1
657.1666666666666,37.1,73,0.079,blank,blank,20190128,1
664.1666666666666,37.1,73,0.079,blank,blank,20190128,1
671.1666666666666,37.0,73,0.079,blank,blank,20190128,1
678.1666666666666,37.1,73,0.079,blank,blank,20190128,1
685.1666666666666,37.0,73,0.079,blank,blank,20190128,1
692.1666666666665,37.0,73,0.079,blank,blank,20190128,1
699.1666666666665,37.0,73,0.079,blank,blank,20190128,1
706.1666666666665,37.1,73,0.079,blank,blank,20190128,1
713.1666666666665,37.0,73,0.079,blank,blank,20190128,1
720.1666666666665,37.1,73,0.079,blank,blank,20190128,1
6.166666666666668,35.8,74,0.079,blank,blank,20190128,1
13.166666666666664,37.0,74,0.079,blank,blank,20190128,1
20.166666666666668,37.0,74,0.079,blank,blank,20190128,1
27.16666666666667,37.0,74,0.079,blank,blank,20190128,1
34.166666666666664,37.0,74,0.079,blank,blank,20190128,1
41.16666666666666,37.1,74,0.079,blank,blank,20190128,1
48.16666666666666,37.1,74,0.079,blank,blank,20190128,1
55.16666666666666,36.9,74,0.079,blank,blank,20190128,1
62.16666666666666,37.0,74,0.079,blank,blank,20190128,1
69.16666666666667,37.0,74,0.079,blank,blank,20190128,1
76.16666666666667,37.0,74,0.079,blank,blank,20190128,1
83.16666666666667,37.1,74,0.079,blank,blank,20190128,1
90.16666666666669,37.0,74,0.079,blank,blank,20190128,1
97.16666666666669,37.0,74,0.079,blank,blank,20190128,1
104.16666666666669,37.0,74,0.079,blank,blank,20190128,1
111.16666666666669,37.0,74,0.079,blank,blank,20190128,1
118.16666666666669,37.0,74,0.079,blank,blank,20190128,1
125.16666666666669,37.1,74,0.079,blank,blank,20190128,1
132.16666666666666,37.0,74,0.079,blank,blank,20190128,1
139.16666666666666,37.0,74,0.079,blank,blank,20190128,1
146.16666666666666,37.0,74,0.079,blank,blank,20190128,1
153.16666666666666,37.1,74,0.079,blank,blank,20190128,1
160.16666666666666,37.0,74,0.079,blank,blank,20190128,1
167.16666666666666,37.0,74,0.079,blank,blank,20190128,1
174.16666666666663,37.1,74,0.079,blank,blank,20190128,1
181.16666666666663,37.1,74,0.079,blank,blank,20190128,1
188.16666666666663,37.1,74,0.079,blank,blank,20190128,1
195.16666666666663,37.1,74,0.079,blank,blank,20190128,1
202.16666666666663,37.0,74,0.079,blank,blank,20190128,1
209.16666666666663,37.0,74,0.079,blank,blank,20190128,1
216.16666666666663,37.1,74,0.079,blank,blank,20190128,1
223.16666666666663,37.1,74,0.079,blank,blank,20190128,1
230.16666666666663,37.1,74,0.079,blank,blank,20190128,1
237.16666666666663,37.1,74,0.079,blank,blank,20190128,1
244.16666666666663,37.1,74,0.079,blank,blank,20190128,1
251.16666666666663,37.1,74,0.079,blank,blank,20190128,1
258.1666666666667,37.0,74,0.079,blank,blank,20190128,1
265.1666666666667,37.0,74,0.079,blank,blank,20190128,1
272.1666666666667,37.1,74,0.079,blank,blank,20190128,1
279.1666666666667,37.0,74,0.079,blank,blank,20190128,1
286.1666666666667,37.0,74,0.079,blank,blank,20190128,1
293.1666666666667,37.1,74,0.079,blank,blank,20190128,1
300.1666666666667,37.0,74,0.079,blank,blank,20190128,1
307.1666666666667,37.0,74,0.079,blank,blank,20190128,1
314.1666666666667,37.1,74,0.079,blank,blank,20190128,1
321.1666666666667,37.1,74,0.079,blank,blank,20190128,1
328.1666666666667,37.0,74,0.079,blank,blank,20190128,1
335.1666666666667,37.1,74,0.079,blank,blank,20190128,1
342.1666666666667,37.1,74,0.079,blank,blank,20190128,1
349.16666666666674,37.1,74,0.079,blank,blank,20190128,1
356.16666666666674,37.0,74,0.079,blank,blank,20190128,1
363.16666666666674,37.0,74,0.079,blank,blank,20190128,1
370.16666666666674,37.0,74,0.079,blank,blank,20190128,1
377.16666666666674,37.0,74,0.079,blank,blank,20190128,1
384.16666666666674,37.0,74,0.079,blank,blank,20190128,1
391.16666666666674,37.1,74,0.079,blank,blank,20190128,1
398.16666666666674,37.1,74,0.079,blank,blank,20190128,1
405.16666666666674,37.0,74,0.079,blank,blank,20190128,1
412.16666666666674,37.0,74,0.079,blank,blank,20190128,1
419.16666666666674,37.1,74,0.079,blank,blank,20190128,1
426.16666666666674,37.0,74,0.079,blank,blank,20190128,1
433.16666666666674,37.1,74,0.079,blank,blank,20190128,1
440.16666666666674,37.0,74,0.079,blank,blank,20190128,1
447.16666666666674,37.0,74,0.079,blank,blank,20190128,1
454.16666666666674,37.1,74,0.079,blank,blank,20190128,1
461.16666666666674,37.1,74,0.079,blank,blank,20190128,1
468.16666666666674,37.1,74,0.079,blank,blank,20190128,1
475.16666666666674,37.0,74,0.079,blank,blank,20190128,1
482.16666666666674,37.0,74,0.079,blank,blank,20190128,1
489.16666666666674,37.0,74,0.079,blank,blank,20190128,1
496.16666666666674,37.0,74,0.079,blank,blank,20190128,1
503.16666666666674,37.0,74,0.079,blank,blank,20190128,1
510.16666666666674,37.1,74,0.079,blank,blank,20190128,1
517.1666666666666,37.0,74,0.079,blank,blank,20190128,1
524.1666666666666,37.0,74,0.079,blank,blank,20190128,1
531.1666666666666,37.1,74,0.079,blank,blank,20190128,1
538.1666666666666,37.0,74,0.079,blank,blank,20190128,1
545.1666666666666,37.0,74,0.079,blank,blank,20190128,1
552.1666666666666,37.0,74,0.079,blank,blank,20190128,1
559.1666666666666,37.1,74,0.079,blank,blank,20190128,1
566.1666666666666,37.1,74,0.079,blank,blank,20190128,1
573.1666666666666,37.1,74,0.079,blank,blank,20190128,1
580.1666666666666,37.0,74,0.079,blank,blank,20190128,1
587.1666666666666,37.0,74,0.079,blank,blank,20190128,1
594.1666666666666,37.0,74,0.079,blank,blank,20190128,1
601.1666666666666,37.1,74,0.079,blank,blank,20190128,1
608.1666666666666,37.0,74,0.079,blank,blank,20190128,1
615.1666666666666,37.0,74,0.079,blank,blank,20190128,1
622.1666666666666,37.1,74,0.079,blank,blank,20190128,1
629.1666666666666,37.0,74,0.079,blank,blank,20190128,1
636.1666666666666,37.0,74,0.079,blank,blank,20190128,1
643.1666666666666,37.1,74,0.079,blank,blank,20190128,1
650.1666666666666,37.1,74,0.079,blank,blank,20190128,1
657.1666666666666,37.1,74,0.079,blank,blank,20190128,1
664.1666666666666,37.1,74,0.079,blank,blank,20190128,1
671.1666666666666,37.0,74,0.079,blank,blank,20190128,1
678.1666666666666,37.1,74,0.079,blank,blank,20190128,1
685.1666666666666,37.0,74,0.079,blank,blank,20190128,1
692.1666666666665,37.0,74,0.079,blank,blank,20190128,1
699.1666666666665,37.0,74,0.079,blank,blank,20190128,1
706.1666666666665,37.1,74,0.079,blank,blank,20190128,1
713.1666666666665,37.0,74,0.079,blank,blank,20190128,1
720.1666666666665,37.1,74,0.079,blank,blank,20190128,1
6.166666666666668,35.8,75,0.079,blank,blank,20190128,1
13.166666666666664,37.0,75,0.079,blank,blank,20190128,1
20.166666666666668,37.0,75,0.079,blank,blank,20190128,1
27.16666666666667,37.0,75,0.079,blank,blank,20190128,1
34.166666666666664,37.0,75,0.079,blank,blank,20190128,1
41.16666666666666,37.1,75,0.079,blank,blank,20190128,1
48.16666666666666,37.1,75,0.079,blank,blank,20190128,1
55.16666666666666,36.9,75,0.079,blank,blank,20190128,1
62.16666666666666,37.0,75,0.079,blank,blank,20190128,1
69.16666666666667,37.0,75,0.079,blank,blank,20190128,1
76.16666666666667,37.0,75,0.079,blank,blank,20190128,1
83.16666666666667,37.1,75,0.079,blank,blank,20190128,1
90.16666666666669,37.0,75,0.079,blank,blank,20190128,1
97.16666666666669,37.0,75,0.079,blank,blank,20190128,1
104.16666666666669,37.0,75,0.079,blank,blank,20190128,1
111.16666666666669,37.0,75,0.079,blank,blank,20190128,1
118.16666666666669,37.0,75,0.079,blank,blank,20190128,1
125.16666666666669,37.1,75,0.079,blank,blank,20190128,1
132.16666666666666,37.0,75,0.079,blank,blank,20190128,1
139.16666666666666,37.0,75,0.079,blank,blank,20190128,1
146.16666666666666,37.0,75,0.079,blank,blank,20190128,1
153.16666666666666,37.1,75,0.079,blank,blank,20190128,1
160.16666666666666,37.0,75,0.079,blank,blank,20190128,1
167.16666666666666,37.0,75,0.079,blank,blank,20190128,1
174.16666666666663,37.1,75,0.079,blank,blank,20190128,1
181.16666666666663,37.1,75,0.079,blank,blank,20190128,1
188.16666666666663,37.1,75,0.079,blank,blank,20190128,1
195.16666666666663,37.1,75,0.079,blank,blank,20190128,1
202.16666666666663,37.0,75,0.079,blank,blank,20190128,1
209.16666666666663,37.0,75,0.079,blank,blank,20190128,1
216.16666666666663,37.1,75,0.079,blank,blank,20190128,1
223.16666666666663,37.1,75,0.079,blank,blank,20190128,1
230.16666666666663,37.1,75,0.079,blank,blank,20190128,1
237.16666666666663,37.1,75,0.079,blank,blank,20190128,1
244.16666666666663,37.1,75,0.079,blank,blank,20190128,1
251.16666666666663,37.1,75,0.079,blank,blank,20190128,1
258.1666666666667,37.0,75,0.079,blank,blank,20190128,1
265.1666666666667,37.0,75,0.079,blank,blank,20190128,1
272.1666666666667,37.1,75,0.079,blank,blank,20190128,1
279.1666666666667,37.0,75,0.079,blank,blank,20190128,1
286.1666666666667,37.0,75,0.079,blank,blank,20190128,1
293.1666666666667,37.1,75,0.079,blank,blank,20190128,1
300.1666666666667,37.0,75,0.079,blank,blank,20190128,1
307.1666666666667,37.0,75,0.079,blank,blank,20190128,1
314.1666666666667,37.1,75,0.079,blank,blank,20190128,1
321.1666666666667,37.1,75,0.079,blank,blank,20190128,1
328.1666666666667,37.0,75,0.079,blank,blank,20190128,1
335.1666666666667,37.1,75,0.079,blank,blank,20190128,1
342.1666666666667,37.1,75,0.079,blank,blank,20190128,1
349.16666666666674,37.1,75,0.079,blank,blank,20190128,1
356.16666666666674,37.0,75,0.079,blank,blank,20190128,1
363.16666666666674,37.0,75,0.079,blank,blank,20190128,1
370.16666666666674,37.0,75,0.079,blank,blank,20190128,1
377.16666666666674,37.0,75,0.079,blank,blank,20190128,1
384.16666666666674,37.0,75,0.079,blank,blank,20190128,1
391.16666666666674,37.1,75,0.079,blank,blank,20190128,1
398.16666666666674,37.1,75,0.079,blank,blank,20190128,1
405.16666666666674,37.0,75,0.079,blank,blank,20190128,1
412.16666666666674,37.0,75,0.079,blank,blank,20190128,1
419.16666666666674,37.1,75,0.079,blank,blank,20190128,1
426.16666666666674,37.0,75,0.079,blank,blank,20190128,1
433.16666666666674,37.1,75,0.079,blank,blank,20190128,1
440.16666666666674,37.0,75,0.079,blank,blank,20190128,1
447.16666666666674,37.0,75,0.079,blank,blank,20190128,1
454.16666666666674,37.1,75,0.079,blank,blank,20190128,1
461.16666666666674,37.1,75,0.079,blank,blank,20190128,1
468.16666666666674,37.1,75,0.079,blank,blank,20190128,1
475.16666666666674,37.0,75,0.079,blank,blank,20190128,1
482.16666666666674,37.0,75,0.079,blank,blank,20190128,1
489.16666666666674,37.0,75,0.079,blank,blank,20190128,1
496.16666666666674,37.0,75,0.079,blank,blank,20190128,1
503.16666666666674,37.0,75,0.079,blank,blank,20190128,1
510.16666666666674,37.1,75,0.079,blank,blank,20190128,1
517.1666666666666,37.0,75,0.079,blank,blank,20190128,1
524.1666666666666,37.0,75,0.079,blank,blank,20190128,1
531.1666666666666,37.1,75,0.079,blank,blank,20190128,1
538.1666666666666,37.0,75,0.079,blank,blank,20190128,1
545.1666666666666,37.0,75,0.079,blank,blank,20190128,1
552.1666666666666,37.0,75,0.079,blank,blank,20190128,1
559.1666666666666,37.1,75,0.079,blank,blank,20190128,1
566.1666666666666,37.1,75,0.079,blank,blank,20190128,1
573.1666666666666,37.1,75,0.079,blank,blank,20190128,1
580.1666666666666,37.0,75,0.079,blank,blank,20190128,1
587.1666666666666,37.0,75,0.079,blank,blank,20190128,1
594.1666666666666,37.0,75,0.079,blank,blank,20190128,1
601.1666666666666,37.1,75,0.079,blank,blank,20190128,1
608.1666666666666,37.0,75,0.079,blank,blank,20190128,1
615.1666666666666,37.0,75,0.079,blank,blank,20190128,1
622.1666666666666,37.1,75,0.079,blank,blank,20190128,1
629.1666666666666,37.0,75,0.079,blank,blank,20190128,1
636.1666666666666,37.0,75,0.079,blank,blank,20190128,1
643.1666666666666,37.1,75,0.079,blank,blank,20190128,1
650.1666666666666,37.1,75,0.079,blank,blank,20190128,1
657.1666666666666,37.1,75,0.079,blank,blank,20190128,1
664.1666666666666,37.1,75,0.079,blank,blank,20190128,1
671.1666666666666,37.0,75,0.079,blank,blank,20190128,1
678.1666666666666,37.1,75,0.079,blank,blank,20190128,1
685.1666666666666,37.0,75,0.079,blank,blank,20190128,1
692.1666666666665,37.0,75,0.079,blank,blank,20190128,1
699.1666666666665,37.0,75,0.079,blank,blank,20190128,1
706.1666666666665,37.1,75,0.079,blank,blank,20190128,1
713.1666666666665,37.0,75,0.079,blank,blank,20190128,1
720.1666666666665,37.1,75,0.079,blank,blank,20190128,1
6.166666666666668,35.8,76,0.081,blank,blank,20190128,1
13.166666666666664,37.0,76,0.081,blank,blank,20190128,1
20.166666666666668,37.0,76,0.081,blank,blank,20190128,1
27.16666666666667,37.0,76,0.08199999999999999,blank,blank,20190128,1
34.166666666666664,37.0,76,0.081,blank,blank,20190128,1
41.16666666666666,37.1,76,0.081,blank,blank,20190128,1
48.16666666666666,37.1,76,0.081,blank,blank,20190128,1
55.16666666666666,36.9,76,0.08199999999999999,blank,blank,20190128,1
62.16666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
69.16666666666667,37.0,76,0.08199999999999999,blank,blank,20190128,1
76.16666666666667,37.0,76,0.08199999999999999,blank,blank,20190128,1
83.16666666666667,37.1,76,0.08199999999999999,blank,blank,20190128,1
90.16666666666669,37.0,76,0.08199999999999999,blank,blank,20190128,1
97.16666666666669,37.0,76,0.08199999999999999,blank,blank,20190128,1
104.16666666666669,37.0,76,0.08199999999999999,blank,blank,20190128,1
111.16666666666669,37.0,76,0.08199999999999999,blank,blank,20190128,1
118.16666666666669,37.0,76,0.08199999999999999,blank,blank,20190128,1
125.16666666666669,37.1,76,0.08199999999999999,blank,blank,20190128,1
132.16666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
139.16666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
146.16666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
153.16666666666666,37.1,76,0.08199999999999999,blank,blank,20190128,1
160.16666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
167.16666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
174.16666666666663,37.1,76,0.08199999999999999,blank,blank,20190128,1
181.16666666666663,37.1,76,0.08199999999999999,blank,blank,20190128,1
188.16666666666663,37.1,76,0.08199999999999999,blank,blank,20190128,1
195.16666666666663,37.1,76,0.08199999999999999,blank,blank,20190128,1
202.16666666666663,37.0,76,0.08199999999999999,blank,blank,20190128,1
209.16666666666663,37.0,76,0.08199999999999999,blank,blank,20190128,1
216.16666666666663,37.1,76,0.08199999999999999,blank,blank,20190128,1
223.16666666666663,37.1,76,0.08199999999999999,blank,blank,20190128,1
230.16666666666663,37.1,76,0.08199999999999999,blank,blank,20190128,1
237.16666666666663,37.1,76,0.08199999999999999,blank,blank,20190128,1
244.16666666666663,37.1,76,0.08199999999999999,blank,blank,20190128,1
251.16666666666663,37.1,76,0.08199999999999999,blank,blank,20190128,1
258.1666666666667,37.0,76,0.08199999999999999,blank,blank,20190128,1
265.1666666666667,37.0,76,0.08199999999999999,blank,blank,20190128,1
272.1666666666667,37.1,76,0.08199999999999999,blank,blank,20190128,1
279.1666666666667,37.0,76,0.08199999999999999,blank,blank,20190128,1
286.1666666666667,37.0,76,0.08199999999999999,blank,blank,20190128,1
293.1666666666667,37.1,76,0.08199999999999999,blank,blank,20190128,1
300.1666666666667,37.0,76,0.08199999999999999,blank,blank,20190128,1
307.1666666666667,37.0,76,0.08199999999999999,blank,blank,20190128,1
314.1666666666667,37.1,76,0.08199999999999999,blank,blank,20190128,1
321.1666666666667,37.1,76,0.08199999999999999,blank,blank,20190128,1
328.1666666666667,37.0,76,0.08199999999999999,blank,blank,20190128,1
335.1666666666667,37.1,76,0.08199999999999999,blank,blank,20190128,1
342.1666666666667,37.1,76,0.08199999999999999,blank,blank,20190128,1
349.16666666666674,37.1,76,0.08199999999999999,blank,blank,20190128,1
356.16666666666674,37.0,76,0.08199999999999999,blank,blank,20190128,1
363.16666666666674,37.0,76,0.08199999999999999,blank,blank,20190128,1
370.16666666666674,37.0,76,0.08199999999999999,blank,blank,20190128,1
377.16666666666674,37.0,76,0.08199999999999999,blank,blank,20190128,1
384.16666666666674,37.0,76,0.08199999999999999,blank,blank,20190128,1
391.16666666666674,37.1,76,0.08199999999999999,blank,blank,20190128,1
398.16666666666674,37.1,76,0.08199999999999999,blank,blank,20190128,1
405.16666666666674,37.0,76,0.08199999999999999,blank,blank,20190128,1
412.16666666666674,37.0,76,0.08199999999999999,blank,blank,20190128,1
419.16666666666674,37.1,76,0.08199999999999999,blank,blank,20190128,1
426.16666666666674,37.0,76,0.08199999999999999,blank,blank,20190128,1
433.16666666666674,37.1,76,0.08199999999999999,blank,blank,20190128,1
440.16666666666674,37.0,76,0.08199999999999999,blank,blank,20190128,1
447.16666666666674,37.0,76,0.08199999999999999,blank,blank,20190128,1
454.16666666666674,37.1,76,0.08199999999999999,blank,blank,20190128,1
461.16666666666674,37.1,76,0.08199999999999999,blank,blank,20190128,1
468.16666666666674,37.1,76,0.08199999999999999,blank,blank,20190128,1
475.16666666666674,37.0,76,0.08199999999999999,blank,blank,20190128,1
482.16666666666674,37.0,76,0.08199999999999999,blank,blank,20190128,1
489.16666666666674,37.0,76,0.08199999999999999,blank,blank,20190128,1
496.16666666666674,37.0,76,0.08199999999999999,blank,blank,20190128,1
503.16666666666674,37.0,76,0.08199999999999999,blank,blank,20190128,1
510.16666666666674,37.1,76,0.08199999999999999,blank,blank,20190128,1
517.1666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
524.1666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
531.1666666666666,37.1,76,0.08199999999999999,blank,blank,20190128,1
538.1666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
545.1666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
552.1666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
559.1666666666666,37.1,76,0.08199999999999999,blank,blank,20190128,1
566.1666666666666,37.1,76,0.08199999999999999,blank,blank,20190128,1
573.1666666666666,37.1,76,0.08199999999999999,blank,blank,20190128,1
580.1666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
587.1666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
594.1666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
601.1666666666666,37.1,76,0.08199999999999999,blank,blank,20190128,1
608.1666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
615.1666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
622.1666666666666,37.1,76,0.08199999999999999,blank,blank,20190128,1
629.1666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
636.1666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
643.1666666666666,37.1,76,0.08199999999999999,blank,blank,20190128,1
650.1666666666666,37.1,76,0.08199999999999999,blank,blank,20190128,1
657.1666666666666,37.1,76,0.08199999999999999,blank,blank,20190128,1
664.1666666666666,37.1,76,0.08199999999999999,blank,blank,20190128,1
671.1666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
678.1666666666666,37.1,76,0.08199999999999999,blank,blank,20190128,1
685.1666666666666,37.0,76,0.08199999999999999,blank,blank,20190128,1
692.1666666666665,37.0,76,0.08199999999999999,blank,blank,20190128,1
699.1666666666665,37.0,76,0.08199999999999999,blank,blank,20190128,1
706.1666666666665,37.1,76,0.08199999999999999,blank,blank,20190128,1
713.1666666666665,37.0,76,0.08199999999999999,blank,blank,20190128,1
720.1666666666665,37.1,76,0.08199999999999999,blank,blank,20190128,1
6.166666666666668,35.8,77,0.08,blank,blank,20190128,1
13.166666666666664,37.0,77,0.08,blank,blank,20190128,1
20.166666666666668,37.0,77,0.08,blank,blank,20190128,1
27.16666666666667,37.0,77,0.08,blank,blank,20190128,1
34.166666666666664,37.0,77,0.08,blank,blank,20190128,1
41.16666666666666,37.1,77,0.08,blank,blank,20190128,1
48.16666666666666,37.1,77,0.08,blank,blank,20190128,1
